,Conocimientos,,,Estrategias,,,,,,,,,Recursos,,,,Dinámica social,,,,,Espacio,,,,,,
clase,arte,ciencia,tecnologia ,cienciasHumanas,tipo_1,tipo_2,tipo_3,tipo_4,tipo_5,tipo_6,tipo_7,tipo_8,comunicacion,interactivos,noInteractivos,fisicos,individual,aPares,subGrupos,grupos,grupoTotal,aulaFisica,aulaVirtual,escuela,hogar,comunidad,duracionReal,duracionPlanificada
1,0,5,20,5,0,0,0,0,0,15,0,0,3,0,3,0,10,0,0,0,10,0,10,0,0,0,1,"2,5"
2,10,15,10,"2,5",0,0,5,0,0,0,0,0,4,1,3,0,10,0,0,0,10,0,10,0,0,0,1,"2,5"
3,0,5,10,0,0,0,10,0,0,0,0,0,6,1,3,1,10,0,0,0,0,0,10,0,5,0,1,2
4,0,5,10,0,0,0,5,0,0,0,10,0,5,0,3,2,10,0,0,0,0,0,10,0,5,0,1,2
5,10,5,15,0,0,10,0,0,0,0,5,0,4,1,6,1,10,0,0,0,10,0,10,0,0,0,1,2
6,10,20,0,10,0,0,0,0,0,0,10,0,4,0,0,0,10,0,0,0,0,0,10,0,5,0,2,2
7,0,0,10,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,10,0,10,0,0,0,1,1
8,0,0,10,0,0,0,0,0,0,0,0,10,4,0,6,1,0,0,0,0,10,0,10,0,0,0,1,1
9,5,20,5,0,10,0,0,0,0,0,0,0,4,0,0,1,0,0,10,0,5,0,10,0,0,0,2,3
10,10,0,"2,5",0,10,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,10,0,10,0,0,0,1,1
11,5,5,10,0,0,0,0,0,0,10,0,0,4,0,4,1,0,0,10,0,0,0,10,0,0,0,2,2
12,20,"12,5",5,0,5,0,10,0,0,0,0,0,4,0,0,0,10,0,0,0,10,0,10,0,0,0,2,2
13,10,"7,5",10,0,5,0,0,0,0,0,0,10,5,0,2,0,0,0,0,10,5,0,10,0,0,0,1,1
14,"12,5",10,5,0,5,0,0,0,0,10,0,0,4,0,0,0,10,0,0,0,10,0,10,0,0,0,1,3
15,0,0,10,0,0,0,0,0,0,0,0,10,3,0,1,0,10,0,0,0,0,0,10,0,0,0,2,2
16,0,0,10,0,10,0,0,0,0,0,0,10,3,0,0,1,10,0,0,0,0,0,10,0,0,0,1,1
17,20,10,10,0,5,"2,5",10,0,5,0,0,0,4,1,2,1,10,0,0,0,10,0,10,0,0,0,1,1
18,20,10,10,0,5,"2,5",10,0,5,0,0,0,4,1,2,0,10,0,0,0,10,0,10,0,0,0,1,1
19,20,"2,5",5,0,10,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,10,0,10,0,0,0,1,1
20,20,0,10,0,0,0,0,0,0,0,0,10,2,0,0,1,10,0,0,0,0,0,10,0,0,0,1,1
21,0,10,10,0,0,0,"2,5",10,0,"2,5",10,0,3,0,1,3,10,0,0,0,0,0,10,0,5,0,1,1
22,0,20,"2,5",0,5,10,0,0,0,0,0,0,3,0,4,4,0,0,0,0,10,0,10,0,0,0,1,1
23,15,20,5,0,0,0,0,0,0,10,0,10,4,1,7,4,10,0,0,0,10,0,10,0,0,0,2,2
24,15,20,5,0,0,0,0,0,0,10,0,5,6,2,0,0,10,0,0,0,10,0,10,0,0,0,4,4
25,10,20,"7,5",0,0,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,10,0,10,5,0,"2,5",1,2
